type,from_id,to_id,attr1,attr2
pattern_prereq,2,1,,
pattern_prereq,3,2,,
pattern_prereq,4,1,,
pattern_prereq,5,1,,
pattern_prereq,6,1,,
pattern_prereq,7,1,,
pattern_prereq,8,7,,
pattern_prereq,10,9,,
pattern_prereq,11,9,,
pattern_prereq,12,11,,
pattern_prereq,13,1,,
pattern_prereq,14,11,,
pattern_prereq,15,12,,
pattern_prereq,16,1,,
pattern_prereq,17,5,,
pattern_prereq,17,14,,
pattern_prereq,18,5,,
problem_pattern,1,1,primary,none
problem_pattern,2,1,primary,none
problem_pattern,3,1,primary,none
problem_pattern,4,2,primary,none
problem_pattern,5,2,primary,none
problem_pattern,6,2,primary,none
problem_pattern,7,2,primary,none
problem_pattern,8,3,primary,none
problem_pattern,9,3,primary,none
problem_pattern,10,3,primary,none
problem_pattern,11,3,primary,none
problem_pattern,12,4,primary,none
problem_pattern,13,4,primary,none
problem_pattern,13,6,auxiliary,sequential
problem_pattern,14,4,primary,none
problem_pattern,15,5,primary,none
problem_pattern,16,5,primary,none
problem_pattern,17,5,primary,none
problem_pattern,18,5,primary,none
problem_pattern,19,6,primary,none
problem_pattern,20,6,primary,none
problem_pattern,21,6,primary,none
problem_pattern,22,7,primary,none
problem_pattern,23,7,primary,none
problem_pattern,24,7,primary,none
problem_pattern,25,8,primary,none
problem_pattern,26,8,primary,none
problem_pattern,27,8,primary,none
problem_pattern,28,9,primary,none
problem_pattern,29,9,primary,none
problem_pattern,30,9,primary,none
problem_pattern,30,10,auxiliary,sequential
problem_pattern,31,10,primary,none
problem_pattern,32,10,primary,none
problem_pattern,33,10,primary,none
problem_pattern,34,11,primary,none
problem_pattern,35,11,primary,none
problem_pattern,36,11,primary,none
problem_pattern,37,11,primary,none
problem_pattern,38,12,primary,none
problem_pattern,39,12,primary,none
problem_pattern,40,12,primary,none
problem_pattern,41,13,primary,none
problem_pattern,42,13,primary,none
problem_pattern,43,13,primary,none
problem_pattern,44,14,primary,none
problem_pattern,45,14,primary,none
problem_pattern,46,14,primary,none
problem_pattern,47,14,primary,none
problem_pattern,48,15,primary,none
problem_pattern,48,11,auxiliary,choice
problem_pattern,49,15,primary,none
problem_pattern,50,15,primary,none
problem_pattern,51,15,primary,none
problem_pattern,52,16,primary,none
problem_pattern,52,15,auxiliary,choice
problem_pattern,53,16,primary,none
problem_pattern,54,16,primary,none
problem_pattern,55,17,primary,none
problem_pattern,56,17,primary,none
problem_pattern,57,17,primary,none
problem_pattern,58,17,primary,none
problem_pattern,58,5,auxiliary,choice
problem_pattern,59,18,primary,none
problem_pattern,60,18,primary,none
clue_pattern,1,3,0.8,
clue_pattern,1,4,0.5,
clue_pattern,1,2,0.4,
clue_pattern,2,2,0.8,
clue_pattern,2,5,0.6,
clue_pattern,3,13,0.9,
clue_pattern,4,8,0.9,
clue_pattern,5,17,0.85,
clue_pattern,6,14,0.9,
clue_pattern,7,10,0.9,
clue_pattern,8,12,0.85,
clue_pattern,8,15,0.8,
clue_pattern,9,15,0.7,
clue_pattern,9,16,0.7,
clue_pattern,9,11,0.6,
clue_pattern,10,5,0.85,
clue_pattern,11,4,0.9,
clue_pattern,12,18,0.8,
clue_pattern,13,10,0.85,
clue_pattern,14,6,0.85,
clue_pattern,15,7,0.9,
clue_pattern,16,12,0.9,
clue_pattern,17,18,0.85,
clue_pattern,18,14,0.7,
clue_pattern,18,17,0.5,
clue_pattern,19,5,0.5,
clue_pattern,19,13,0.5,
clue_pattern,19,18,0.4,
clue_pattern,20,3,0.85,
